[GIN] 2022/04/30 - 20:27:57 | 200 |     549.617µs |    192.168.1.17 | GET      "/common/tables/"
[GIN] 2022/04/30 - 20:27:59 | 200 |    5.038409ms |    192.168.1.17 | GET      "/user_role_access/015bcb9a-ad9b-4d6b-9834-cda0643664e1/"
[GIN] 2022/04/30 - 20:28:02 | 200 |     809.259µs |    192.168.1.17 | POST     "/user_role/"
[GIN] 2022/04/30 - 20:28:02 | 200 |     576.262µs |    192.168.1.17 | GET      "/common/tables/"
[GIN] 2022/04/30 - 20:28:04 | 200 |    3.608746ms |    192.168.1.17 | GET      "/user_role_access/515e0652-4d21-4db4-b42f-e199e37f3a8d/"
[GIN] 2022/04/30 - 20:29:10 | 200 |   10.404748ms |    192.168.1.17 | GET      "/auth/refresh/"
[GIN] 2022/04/30 - 20:29:10 | 200 |   10.725536ms |    192.168.1.17 | POST     "/user_role_access/create/multi/"
[GIN] 2022/04/30 - 20:29:22 | 200 |    1.159782ms |    192.168.1.17 | POST     "/factory/"
[GIN] 2022/04/30 - 20:31:34 | 200 |    2.890422ms |    192.168.1.17 | GET      "/auth/refresh/"
[GIN] 2022/04/30 - 20:31:34 | 200 |    1.345644ms |    192.168.1.17 | POST     "/address/create/"
[GIN] 2022/04/30 - 20:31:34 | 200 |    1.892894ms |    192.168.1.17 | POST     "/factory/create/"
[GIN] 2022/04/30 - 20:31:39 | 200 |     826.722µs |    192.168.1.17 | POST     "/address/"
[GIN] 2022/04/30 - 20:31:48 | 200 |    1.181447ms |    192.168.1.17 | POST     "/factory/"
